"Function","GJ_step","(Mat, [Typ], [IntValue]) ","Gauss-Jordan algorithm step by step","Linear Algebra","Gauss-Jordan algorithm step by step",,"matrix","matrix.hlp","21"
"Function","M_ABS","(v) ","Norm of vector or matrix","Linear Algebra","Norm of vector or matrix","Frobenious","matrix","matrix.hlp","2"
"Function","M_ABS_C","(v, CFormat)","Norm of complex vector or matrix","Linear Algebra","Norm of complex vector or matrix",,"matrix","matrix.hlp","126"
"Function","M_ADD","(Mat1, Mat2) ","Matrix addition","Linear Algebra","Matrix addition",,"matrix","matrix.hlp","3"
"Function","M_ADD_C","(Mat1, Mat2, [CFormat])","Complex matrix addition","Linear Algebra","Complex matrix addition",,"matrix","matrix.hlp","123"
"Function","M_BAB","(A, B) ","Similarity transform [B]*[A]*[B]^-1","Linear Algebra","Similarity transform [B]*[A]*[B]^-1",,"matrix","matrix.hlp","4"
"Function","M_DET","(Mat, [IMode], [Tiny]) ","Determinant","Linear Algebra","Determinant",,"matrix","matrix.hlp","5"
"Function","M_DET_C","(Mat, [Cformat])","Determinant for complex matrix","Linear Algebra","Determinant for complex matrix",,"matrix","matrix.hlp","95"
"Function","M_DET3","(Mat3) ","Determinant for tridiagonal matrices","Linear Algebra","Determinant for tridiagonal matrices",,"matrix","matrix.hlp","80"
"Function","M_DETPAR","(Mat)","Parametric Determinant","Linear Algebra","Parametric Determinant",,"matrix","matrix.hlp","145"
"Function","M_DIAG","(Diag) ","Diagonal matrix","Linear Algebra","Diagonal matrix",,"matrix","matrix.hlp","53"
"Function","M_EXP","(A, [n]) ","Matrix exponential e^[M]","Linear Algebra","Matrix exponential e^[M]",,"matrix","matrix.hlp","48"
"Function","M_EXP_ERR","(A, n) ","Error of matrix exponential","Linear Algebra","Error of matrix exponential",,"matrix","matrix.hlp","49"
"Function","M_ID","(n) ","Matrix Identity (I)","Linear Algebra","Matrix Identity (I)",,"matrix","matrix.hlp","12"
"Function","M_INV","(Mat, , [IMode], [Tiny]) ","Matrix inverse [A]^-1","Linear Algebra","Matrix inverse [A]^-1",,"matrix","matrix.hlp","6"
"Function","M_INV_C","(A, [Cformat]) ","Complex Matrix inverse [A]^-1","Linear Algebra","Complex Matrix inverse [A]^-1",,"matrix","matrix.hlp","71"
"Function","M_MULT_C","(Mat1, Mat2, [Cformat]) ","Complex matrix multiplication","Linear Algebra","Complex matrix multiplication",,"matrix","matrix.hlp","69"
"Function","M_MULT_TPZ","(tpz, v)","Toeplitz matrix and vector multiplication","Linear Algebra","Toeplitz matrix and vector multiplication",,"matrix","matrix.hlp","116"
"Function","M_MULT3","(Mat3, Mat) ","Tridiagonal matrix multiplication","Linear Algebra","Tridiagonal matrix multiplication",,"matrix","matrix.hlp","78"
"Function","M_POW","(Mat, n) ","Matrix power [A]^n","Linear Algebra","Matrix power [A]^n",,"matrix","matrix.hlp","7"
"Function","M_POW_C","(Mat, n, [CFormat]) ","Complex matrix power [A]^n","Linear Algebra","Complex matrix power [A]^n",,"matrix","matrix.hlp","146"
"Function","M_PROD","(Mat1, Mat2) ","Matrix product [A]*[B]*[C]*….","Linear Algebra","Matrix product [A]*[B]*[C]*….",,"matrix","matrix.hlp","8"
"Function","M_PRODS","(Mat, scalar) ","Matrix scalar multiplication","Linear Algebra","Matrix scalar multiplication",,"matrix","matrix.hlp","50"
"Function","M_PRODS_C","(Mat, scalar, [CFormat])","Complex matrix scalar multiplication","Linear Algebra","Complex matrix scalar multiplication",,"matrix","matrix.hlp","121"
"Function","M_RANK","(Mat) ","Rank of matrix","Linear Algebra","Rank of matrix",,"matrix","matrix.hlp","44"
"Function","M_SUB","(Mat1, Mat2) ","Matrix subtraction","Linear Algebra","Matrix subtraction",,"matrix","matrix.hlp","9"
"Function","M_SUB_C","(Mat1, Mat2, [CFormat])","Complex matrix subtraction","Linear Algebra","Complex matrix subtraction",,"matrix","matrix.hlp","124"
"Function","M_TRAC","(Mat) ","Matrix Trace","Linear Algebra","Matrix Trace",,"matrix","matrix.hlp","10"
"Function","Mat_Adm","(Branch)","Admittance matrix of a linear passive network","Linear Algebra","Admittance matrix of a linear passive network","circuit nodal voltage","matrix","matrix.hlp","96"
"Function","Mat_Block","(Mat)","block-partitioned matrix","Linear Algebra","block-partitioned matrix",,"matrix","matrix.hlp","107"
"Function","Mat_BlockPerm","(Mat)","Permutation vector of block-partitioned matrix","Linear Algebra","Permutation vector of block-partitioned matrix","block partition triangular","matrix","matrix.hlp","108"
"Function","Mat_Cholesky","(Mat) ","Cholesky decomposition","Linear Algebra","Cholesky decomposition",,"matrix","matrix.hlp","28"
"Function","Mat_Hessenberg","(Mat)","Hessenberg form","Linear Algebra","Hessenberg form",,"matrix","matrix.hlp","88"
"Function","Mat_Hilbert","(Mat)","Hilbert's matrix","Linear Algebra","Hilbert's matrix",,"matrix","matrix.hlp","20"
"Function","Mat_HilbertInv","(n)","Inverse Hilbert's matrix","Linear Algebra","Hilbert's matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Householder","(v) ","Houseolder matrix","Linear Algebra","Houseolder matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Leontief","(ExTab, Tot)","Leontief inverse matrix for Input Output Analysis","Statistical ","Leontief inverse matrix for Input Output Analysis",,"matrix","matrix.hlp","103"
"Function","Mat_LU","(Mat, Optional Pivot) ","LU decomposition","Linear Algebra","LU decomposition",,"matrix","matrix.hlp","29"
"Function","Mat_Pseudoinv","(Mat)","Moore-Penrose pseudo-inverse","Linear Algebra","Moore-Penrose pseudo-inverse",,"matrix","matrix.hlp","120"
"Function","Mat_QH","(Mat, b) ","QH decomposition","Linear Algebra","QH decomposition",,"matrix","matrix.hlp","140"
"Function","Mat_QR","(Mat) ","QR decomposition","Linear Algebra","QR decomposition",,"matrix","matrix.hlp","30"
"Function","Mat_QR_iter","(Mat, [MaxLoops])","Diagonalization with the QR iterative method","Linear Algebra","Diagonalization with the QR iterative method",,"matrix","matrix.hlp","91"
"Function","Mat_Tartaglia","(n)","Tartaglia's matrix","Linear Algebra","Tartaglia's matrix",,"matrix","matrix.hlp","20"
"Function","Mat_Vandermonde","(v) ","Vandermonde's matrix","Linear Algebra","Vandermonde's matrix",,"matrix","matrix.hlp","20"
"Function","MatChar","(Mat, x)","Characteristic matrix","Linear Algebra","Characteristic matrix",,"matrix","matrix.hlp","122"
"Function","MatChar_C","(Mat, x, [CFormat])","Complex Characteristic matrix","Linear Algebra","Complex Characteristic matrix",,"matrix","matrix.hlp","125"
"Function","MatCharPoly","(Mat) ","Characteristic polynomial coefficients","Linear Algebra","Characteristic polynomial coefficients",,"matrix","matrix.hlp","19"
"Function","MatCharPoly_C","(Mat, [CFormat])","Complex characteristic polynomial coefficients","Linear Algebra","Complex characteristic polynomial coefficients",,"matrix","matrix.hlp","135"
"Function","MatCmp","(Coeff) ","Companion matrix","Linear Algebra","Companion matrix","characteristic polynomial","matrix","matrix.hlp","57"
"Function","MatCorr","(A) ","Correlation matrix","Statistical ","Correlation matrix",,"matrix","matrix.hlp","56"
"Function","MatCovar","(A) ","Covariance matrix","Linear Algebra","Covariance matrix",,"matrix","matrix.hlp","54"
"Function","MatCplx","(Re, Im, [CFormat])","Converts 2 real matrices into a complex matrix","Linear Algebra","Converts 2 real matrices into a complex matrix",,"matrix","matrix.hlp","131"
"Function","MatDiagExtr","(Mat, [Diag]) ","Diagonal extractor ","Linear Algebra","Diagonal extractor ",,"matrix","matrix.hlp","43"
"Function","MatEigenSort_Jacobi","(EigvalM, EigvectM, num)","Sorts eigenvectors for eigenvalues amplitude","Linear Algebra","Sorts eigenvectors for eigenvalues amplitude",,"matrix","matrix.hlp","136"
"Function","MatEigenvalue_Jacobi","(Mat, Optional MaxLoops) ","Eigenvalues of symmetric matrix with Jacobi algorithm","Linear Algebra","Eigenvalues of symmetric matrix with Jacobi algorithm",,"matrix","matrix.hlp","15"
"Function","MatEigenvalue_max","(Mat, [IterMax]) ","Dominant eigenvectors with power method","Linear Algebra","Dominant eigenvectors with power method",,"matrix","matrix.hlp","62"
"Function","MatEigenvalue_pow","(Mat, [IterMax]) ","Eigenvectors with power method","Linear Algebra","Eigenvectors with power method",,"matrix","matrix.hlp","64"
"Function","MatEigenvalue_QL","(Mat3, [IterMax])","Eigenvalues of tridiagonal matrix","Linear Algebra","Eigenvalues of tridiagonal matrix",,"matrix","matrix.hlp","86"
"Function","MatEigenvalue_QR","(Mat) ","Eigenvalues of real matrix with QR algorithm","Linear Algebra","Eigenvalues of real matrix with QR algorithm",,"matrix","matrix.hlp","16"
"Function","MatEigenvalue_QRC","(Mat, [CFormat])","Eigenvalues of complex matrix with QR algorithm","Linear Algebra","Eigenvalues of complex matrix with QR algorithm",,"matrix","matrix.hlp","132"
